l4,con,tp,UNIFORM,.660,.900,UNIFORM,0.9,0.99,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,j3
l5,con,tp,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a medium likelihood relationship between the two nodes,I am likely confident with this concept,j2
l6,con,tp,UNIFORM,.600,.960,UNIFORM,0.6,0.96,very likely positive relationship between two nodes,I am likely confident with this concept,j1
l2,cstp,olo,UNIFORM,.991,.999,UNIFORM,0.66,0.9,Definition provided is used to verify compliance with federal regulations,I am likely confident with this concept,gr9
l1,cstp,olo,UNIFORM,.900,.990,UNIFORM,0.66,0.9,"The definition is conditional on OJT, therefore the weight of influence for the generic definition is medium likelihood",I am likely confident with this concept,gr13
l3,cstp,olo,UNIFORM,.600,.960,UNIFORM,0.6,0.96,Document provides definition of Objectives and components are conditions and standards,I am likely confident with this concept,id1
l14,ik,ip,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a likely relationship between the two nodes,I am likely confident with this concept,id2
l15,ik,ip,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,id2
l13,ik,ip,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a likely relationship between the two nodes,I am likely confident with this concept,id2
l20,ip,ti,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a relationship that has a medium likelihood between the two nodes,I am likely confident with this concept,gd1
l21,ip,ti,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a very likely relationship between the two nodes,i am likely confident with this concept,j10
l19,ip,ti,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,gr5
l9,ipt,ip,UNIFORM,.600,.960,UNIFORM,0.6,0.96,this evidence provides support for a virtually certain relationship between the two nodes,I am likely confident with this concept,gd1
